CMV(-2),CMV(-2),CMV(-3),CMV(-3),CMV(-4),CMV(-4),CMV(-5),CMV(-5),CMV(-),CMV(-)
48624.36842,53096.36842,56286.21053,34968.26316,31435.57895,23885.31579,29020.52632,32009.63158,2036.894737,2055.578947
48729.36842,54126.36842,56747.21053,35214.26316,31645.57895,23965.31579,29018.52632,32370.63158,1870.894737,1896.578947
49012.36842,54351.36842,57151.21053,35296.26316,31788.57895,24441.31579,29354.52632,32441.63158,1986.894737,1954.578947
49403.36842,54722.36842,57235.21053,35299.26316,31977.57895,24608.31579,29438.52632,32652.63158,2027.894737,1872.578947
49272.36842,55265.36842,57701.21053,35503.26316,32087.57895,24916.31579,29533.52632,32872.63158,2066.894737,1819.578947
49572.36842,55912.36842,58098.21053,35688.26316,32311.57895,24916.31579,29612.52632,33142.63158,1932.894737,1738.578947
49566.36842,56536.36842,58396.21053,35654.26316,32396.57895,25168.31579,29698.52632,33336.63158,2023.894737,1764.578947
49760.36842,56595.36842,58789.21053,35967.26316,32565.57895,25365.31579,29995.52632,33413.63158,2191.894737,1865.578947
49870.36842,57206.36842,59021.21053,36025.26316,32809.57895,25429.31579,30063.52632,33608.63158,2083.894737,1718.578947
50957.36842,57873.36842,58877.21053,36003.26316,33309.57895,25459.31579,30024.52632,33649.63158,1965.894737,1693.578947
50871.36842,58375.36842,58637.21053,35858.26316,33379.57895,25307.31579,29946.52632,33795.63158,1761.894737,1407.578947
50197.36842,58078.36842,59495.21053,36156.26316,33137.57895,25587.31579,30282.52632,33894.63158,2111.894737,1724.578947
50345.36842,58695.36842,59742.21053,36163.26316,33240.57895,25891.31579,30301.52632,34013.63158,2039.894737,1577.578947
50865.36842,59460.36842,59101.21053,36132.26316,33771.57895,25776.31579,30262.52632,34253.63158,1832.894737,1376.578947
